Year,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IS,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,TR,GB
2007,1146.9849999999997,360.903,430.8949999999999,18.407,1694.699,10274.105,482.89300000000003,23.512,4236.779,721.0530000000001,5708.165,220.333,118.345,35.275,255.18599999999998,0.0,6926.465,55.888,24.401,15.993,0.0,2812.2670000000003,118.459,2284.706,1075.367,822.902,131.45,33.499,324.21999999999997,3180.412,7059.954
2008,1075.9109999999998,630.3800000000001,175.097,14.566,2114.859,9236.883,452.76300000000003,24.403999999999996,4845.846,700.615,4842.943,365.24399999999997,95.037,36.909,251.168,0.0,6621.529999999999,30.046000000000003,24.845,10.404,0.0,3130.424,64.247,1493.503,1041.136,792.8480000000001,131.735,32.949,326.699,3511.948,6722.581
2009,1059.61,303.296,27.198,12.661,1949.832,8210.552999999998,439.94100000000003,19.495,4942.484,615.651,2683.2120000000004,401.94,72.776,35.455999999999996,265.51099999999997,0.0,6266.027999999999,58.048,26.688,9.63,0.0,2960.367,552.2620000000001,1415.442,1153.9950000000001,553.02,62.659000000000006,32.105000000000004,215.73800000000003,3156.6830000000004,6265.705999999999
2010,1264.215,478.19300000000004,22.936,9.704,1774.436,8960.373,473.063,18.031,5277.203,665.1469999999999,2593.845,434.573,82.54499999999999,38.85,279.23699999999997,0.0,6991.349,48.687,27.644,10.447,0.0,3106.558,273.103,1567.101,1437.471,633.409,136.297,26.656000000000002,172.16599999999997,3062.791,5999.166
2011,1248.794,556.083,12.186,5.942,1543.5049999999999,8172.859,430.258,15.492,5504.844,600.63,2524.849,464.71000000000004,96.868,111.53699999999999,261.979,0.0,6992.662999999999,46.146,25.504,9.63,0.0,3210.6349999999998,318.174,1485.254,1424.6150000000002,762.7570000000001,99.05199999999999,20.544999999999998,185.32299999999995,3159.6349999999998,5791.623
2012,1142.247,556.405,22.958,3.995,1397.8899999999996,7018.5869999999995,396.604,10.197,5490.103999999999,486.908,2411.908,463.20000000000005,78.847,60.771,296.102,0.0,5287.016,60.505,25.861,15.262,0.0,3422.8119999999994,324.775,1571.6330000000003,1424.074,981.393,57.395999999999994,20.224,204.50400000000002,3227.315,5871.116999999999
2013,1091.245,434.47399999999993,19.067,5.92,1366.48,6936.924,410.095,8.234,4868.921999999999,495.29099999999994,2324.7019999999998,458.88599999999997,68.315,69.16000000000001,287.639,0.0,4642.7789999999995,39.469,27.08,20.507,0.0,3430.799,306.525,1606.5009999999997,1603.329,1136.8360000000002,45.06699999999999,20.8,179.68599999999998,3476.232,4640.496
2014,1041.371,477.26500000000004,11.049,4.909,1301.4740000000002,7071.307,414.62199999999996,1.72,3921.7810000000004,367.315,2366.8010000000004,500.597,62.619,63.59000000000001,274.664,0.0,4321.588,57.17100000000001,22.706,12.059,0.0,3166.4370000000004,326.847,1578.353,1419.709,1019.629,44.266999999999996,22.082,172.88200000000003,4505.577,4648.175
2015,1062.247,482.00000000000006,34.233000000000004,2.051,1334.046,7875.082000000001,443.695,22.148,4131.547,338.46299999999997,2283.454,634.593,56.080999999999996,74.677,297.603,0.0,5070.5509999999995,78.417,21.416,9.566,0.0,2711.374,327.95,1580.3819999999998,1345.2469999999998,1265.7289999999998,68.3,22.971,175.144,4435.552999999999,5471.34
2016,1010.7699999999999,500.93600000000004,51.068,2.05,1401.4239999999998,8808.06,426.212,22.43,4090.466,216.40900000000002,2100.882,606.54,60.977999999999994,91.505,290.744,0.0,4605.968999999999,71.17999999999999,21.821,8.899,0.0,2790.9759999999997,328.538,1787.48,1314.7900000000002,1123.398,51.114999999999995,21.197,157.708,4865.7789999999995,4680.116
2017,1125.496,575.2890000000001,69.914,2.429,1194.9600000000003,9187.064,427.47,11.808,4476.2210000000005,203.13000000000002,2122.427,378.691,78.792,90.056,292.232,0.0,4929.6089999999995,62.239,19.427,6.307,0.0,2926.107,320.452,1922.719,1317.443,1167.609,58.93,22.090999999999998,180.63499999999996,4780.153,4549.077
2018,1107.14,582.411,98.68399999999998,2.027,1136.7710000000002,8818.679999999998,426.06399999999996,14.041,4694.560000000001,238.50300000000001,2151.5609999999997,399.048,67.311,113.23999999999998,281.74399999999997,0.0,5617.919999999999,43.164,17.479,5.049,0.0,2943.365,326.059,2333.1310000000003,1351.7109999999998,1315.4560000000001,65.80199999999999,21.89,264.25,4177.614,4575.401
