Year,AT,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IS,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,TR,GB
2000,2727.5319999999997,6460.582,5449.723,889.93,13582.133000000002,73543.446,6842.020999999999,2410.931,22740.736999999997,4828.032,8313.397,11386.052,1157.4189999999999,5896.979000000001,4670.742,1.027,44782.469,904.9359999999999,76.479,492.15200000000004,497.741,14494.159000000001,50.07,34315.74300000001,5594.806,10194.971000000001,1262.7199999999998,1213.424,2248.85,16649.511000000002,48866.244
2001,3167.8379999999997,6016.276,6374.392,869.721,14038.284,77846.298,7159.165,2332.842,21577.011,6222.097999999999,7355.664999999999,11561.444,1379.672,6057.376,5032.067,1.027,42767.195999999996,982.5740000000001,150.93,557.773,620.316,15621.161,60.657000000000004,34421.41700000001,5602.171,10386.582999999999,1352.6269999999997,1333.867,2548.313,17122.78,50951.352
2002,3043.0819999999994,6227.556000000001,5756.427,901.443,13612.313,78166.724,7148.161,2254.27,25958.781000000003,6838.008999999998,8427.822,11555.484999999999,1602.9940000000001,5708.6669999999995,4872.278,1.027,45402.678,959.9150000000001,451.67900000000003,564.861,608.02,15912.181999999999,56.93899999999999,33678.975000000006,6605.578,9818.252999999999,1722.331,1495.357,2197.499,15480.226,50576.458
2003,3848.113,6889.219,6187.53,1061.794,13611.657,78889.56100000002,8029.424,2615.648,24261.863999999998,8808.117999999999,9158.29,11879.641,1743.4249999999997,6133.809,4706.498,1.027,44857.719000000005,1009.163,453.56899999999996,575.6890000000001,672.571,16026.111,73.02,35289.653999999995,5191.878,11433.762999999999,2015.971,1427.829,2454.467,16629.573,53346.687
2004,3776.6299999999997,6744.005999999999,6127.115,1017.616,13608.787,77997.591,6478.546,2734.755,26916.895000000004,7809.746,8869.211,12096.969,1428.973,5481.33,4629.17,1.027,46214.802,1108.156,539.702,545.7059999999999,640.986,16640.242,76.22500000000001,35670.130000000005,5727.745,10121.195000000002,1789.2790000000002,1441.7390000000003,2287.269,16000.040999999997,51799.88
2005,3951.8540000000003,6918.967000000001,6123.026,1081.75,13722.756,78506.90899999999,5575.112999999999,2568.534,30408.474,4891.708999999999,10195.055,12255.143,1388.7380000000003,5077.601000000001,4669.635,1.027,45785.407,1193.458,531.576,535.91,611.135,15617.678000000002,74.429,35845.869,6747.675,9491.648,1525.8640000000003,1446.6119999999999,2137.654,19814.107,52223.059
2006,3531.583,6717.018999999999,6165.5869999999995,1104.35,13540.556000000002,79582.915,7599.197999999999,2394.2960000000003,30110.503,7646.315,8803.173999999999,11891.421999999999,1419.013,5177.065999999999,4588.884,1.027,47650.344000000005,1119.841,558.069,639.178,617.608,15091.199,76.04599999999999,36912.245,5693.599,10666.044,1656.205,1490.7779999999998,1960.6729999999998,22609.412,53977.399
2007,3102.7819999999997,6591.972000000001,7086.511,1150.054,14533.667,81236.34500000002,6196.025000000001,2882.62,31100.809999999998,6866.722999999999,9089.347,12822.265,1756.08,5612.174000000001,4530.782,3.439,47448.041,950.364,501.276,609.41,627.902,15693.093,74.56,36534.223000000005,5017.228,10397.295,1370.689,1537.631,1710.88,27392.462,54437.652
2008,3096.998,5934.2339999999995,7389.759,1207.382,13149.929,78025.16200000001,5705.959,2641.291,28639.417,5402.3949999999995,9024.148000000001,12469.603999999998,1548.1369999999997,5426.115,4499.518,2.365,46195.856999999996,910.322,429.525,592.4860000000001,616.366,15442.597,75.766,35906.13300000001,4981.005,10034.231,1356.269,1497.49,1685.806,29113.909,53821.882
2009,2881.629,6603.947,6823.649,1227.031,12267.779,72638.28299999998,5658.816,2137.933,23926.515,5554.826999999998,11466.783,11492.74,1339.49,4333.332999999999,4077.231,1.123,38569.838,929.208,487.988,582.892,578.747,16129.82,62.544,34388.915,5104.97,8481.931999999999,1732.961,1447.1279999999997,1812.969,28057.946,47749.324
2010,3294.74,6789.742,7246.115000000001,1184.075,13236.51,74886.80200000001,5681.253000000001,2917.4539999999997,18814.072,6903.950999999999,11822.887,10708.786,1194.9,4470.111,4261.045,1.027,39192.895000000004,1192.386,508.75499999999994,749.604,578.222,16681.156,917.8240000000001,35158.363,3649.328,7771.351999999999,2263.762,1471.2240000000002,1965.3909999999998,28500.774999999998,49658.886000000006
2011,3094.813,5330.385,8372.626,1143.995,13173.744,73464.788,4498.509000000001,3003.634,21247.073000000004,5400.8589999999995,10553.047999999997,11083.113,1250.574,4052.2059999999997,3694.9239999999995,1.027,38085.651999999995,911.469,422.74699999999996,697.003,591.836,14933.758000000002,559.126,35846.516,4135.687000000001,9239.215,1751.4170000000001,1489.51,2006.046,31430.807,44984.189999999995
2012,2566.369,5276.863,7301.813,1091.75,12561.580999999998,77899.225,3510.6569999999997,2651.865,21976.965,4169.716,10874.173999999999,11132.375,1164.6430000000003,3784.915,3782.201,1.027,37363.975000000006,889.565,433.908,623.775,626.23,13313.498,136.0,34310.905,4112.830999999999,8351.195999999998,1549.6039999999998,1427.7840000000003,1852.4289999999999,31933.062,45745.969000000005
2013,2139.367,4674.138,6374.9259999999995,870.178,11916.902,78038.414,4007.6889999999994,3191.094,16200.563,4675.083,10038.164999999999,9592.514000000001,1075.141,2915.035,3370.467,2.054,31867.052,702.0939999999999,280.991,712.3480000000001,513.089,13242.670000000002,151.87999999999997,34575.566,3141.8150000000005,6179.472,1577.022,1373.9710000000002,1729.033,30054.917,42992.11200000001
2014,1681.4989999999998,4174.466,6743.674,897.331,11557.019,73281.20799999998,2969.661,2952.3450000000003,16947.914,4019.111000000001,6408.718999999999,8650.127,860.241,2599.586,3282.5340000000006,2.054,29092.089000000004,516.803,265.614,634.629,500.296,13983.826000000001,160.731,32467.709,3159.8479999999995,6089.536,1273.079,1060.2230000000002,1434.174,34370.077000000005,37042.60700000001
2015,2123.012,4600.5869999999995,6831.861000000001,928.833,11567.241,71212.408,2152.752,2418.096,20107.941,3295.296,7750.35,7615.264999999999,896.081,2622.02,3400.475,2.054,31102.992,457.70700000000005,169.274,685.8389999999999,263.208,15048.142000000002,152.347,33084.782,4357.4619999999995,6245.782999999999,1240.352,1077.084,1473.9569999999999,31509.162,30594.039999999997
2016,2145.1910000000003,4192.829,6037.594000000001,1010.856,11820.326000000001,71568.45199999999,2681.427,2574.63,16606.567000000003,3588.048,9533.147,7113.619,975.4279999999999,2839.69,3778.0349999999994,2.054,32077.272,324.702,77.294,703.393,172.184,15170.038,152.153,33009.378000000004,4275.939,5956.072,1473.266,1160.5180000000003,1454.8629999999998,32439.004,27827.503
2017,2499.917,4048.166,6308.527,1016.229,11170.654,66760.586,2085.0750000000003,2734.543,20058.005999999998,3362.263,10979.499999999998,8499.259,969.7130000000001,2854.2360000000003,3590.61,0.644,33018.509,232.414,72.938,394.547,282.896,14534.313999999998,157.18,33398.714,5616.954,6212.017,1342.597,1169.1090000000002,1508.463,36633.12,24796.425
2018,2228.6049999999996,4202.509,5512.516,1028.368,11066.182999999997,63216.229999999996,2097.91,2640.0150000000003,17210.115,3568.720999999999,8238.055,7907.446,777.5479999999999,2635.5660000000003,3272.8089999999997,0.762,29533.555,207.785,65.193,580.8309999999999,297.731,13496.657,160.463,32792.564000000006,4548.278,5797.963,1452.087,1144.397,1265.5919999999999,37007.187,22539.771
