date,power,name
2023-11-24,36302.958333333336,GB
2023-11-25,36283.5,GB
2023-11-26,38434.645833333336,GB
2023-11-27,39161.479166666664,GB
2023-11-28,39300.895833333336,GB
2023-11-29,37730.354166666664,GB
2023-11-30,36039.145833333336,GB
2023-12-01,35357.5625,GB
2023-12-02,32928.291666666664,GB
2023-12-03,36615.520833333336,GB
2023-12-04,39981.729166666664,GB
2023-12-05,40127.5625,GB
2023-12-06,38588.729166666664,GB
2023-12-07,37250.479166666664,GB
2023-12-08,34390.5625,GB
2023-12-09,34827.270833333336,GB
2023-12-10,39473.9375,GB
2023-12-11,40417.979166666664,GB
2023-12-12,37585.854166666664,GB
2023-12-13,39528.375,GB
2023-12-14,35912.574468085106,GB
2023-12-15,34237.583333333336,GB
2023-12-16,37347.166666666664,GB
2023-12-17,40064.270833333336,GB
2023-12-18,39203.729166666664,GB
2023-12-19,40284.375,GB
2023-12-20,39598.395833333336,GB
2023-12-21,37595.708333333336,GB
2023-12-22,34122.958333333336,GB
2023-12-23,34059.395833333336,GB
2023-12-24,35051.479166666664,GB
2023-12-25,32494.520833333332,GB
2023-12-26,30862.416666666668,GB
2023-12-27,33921.5625,GB
2023-12-28,34346.875,GB
2023-12-29,32066.520833333332,GB
2023-12-30,31835.3125,GB
2023-12-31,32225.125,GB
2023-01-01,24195.208333333332,IT
2023-01-02,30895.625,IT
2023-01-03,32577.458333333332,IT
2023-01-04,32306.333333333332,IT
2023-01-05,32550.375,IT
2023-01-06,26722.958333333332,IT
2023-01-07,25491.416666666668,IT
2023-01-08,34570.75,IT
2023-01-09,35560.208333333336,IT
2023-01-10,36040.875,IT
2023-01-11,36456.5,IT
2023-01-12,37330.583333333336,IT
2023-01-13,31466.416666666668,IT
2023-01-14,28241.25,IT
2023-01-15,36910.583333333336,IT
2023-01-16,38606.666666666664,IT
2023-01-17,38524.75,IT
2023-01-18,38149.875,IT
2023-01-19,37882.833333333336,IT
2023-01-20,31672.125,IT
2023-01-21,27465.833333333332,IT
2023-01-22,36727.75,IT
2023-01-23,38184.458333333336,IT
2023-01-24,38150.583333333336,IT
2023-01-25,38512.958333333336,IT
2023-01-26,38160.208333333336,IT
2023-01-27,31646.083333333332,IT
2023-01-28,27411.625,IT
2023-01-29,36462.875,IT
2023-01-30,38328.458333333336,IT
2023-01-31,38486.291666666664,IT
2023-02-01,38527.291666666664,IT
2023-02-02,38021.375,IT
2023-02-03,31650.041666666668,IT
2023-02-04,27740.541666666668,IT
2023-02-05,36839.0,IT
2023-02-06,38591.875,IT
2023-02-07,39015.708333333336,IT
2023-02-08,38441.166666666664,IT
2023-02-09,38020.75,IT
2023-02-10,31848.583333333332,IT
2023-02-11,27904.291666666668,IT
2023-02-12,37475.0,IT
2023-02-13,38598.25,IT
2023-02-14,39256.666666666664,IT
2023-02-15,39255.833333333336,IT
2023-02-16,38684.166666666664,IT
2023-02-17,31910.5,IT
2023-02-18,28194.708333333332,IT
2023-02-19,37501.833333333336,IT
2023-02-20,38869.041666666664,IT
2023-02-21,38958.375,IT
2023-02-22,39148.041666666664,IT
2023-02-23,39256.583333333336,IT
2023-02-24,31841.416666666668,IT
2023-02-25,28789.291666666668,IT
2023-02-26,38267.458333333336,IT
2023-02-27,39883.875,IT
2023-02-28,40609.5,IT
2023-03-01,40752.416666666664,IT
2023-03-02,39918.916666666664,IT
2023-03-03,33317.333333333336,IT
2023-03-04,28282.791666666668,IT
2023-03-05,37397.208333333336,IT
2023-03-06,38681.625,IT
2023-03-07,38059.208333333336,IT
2023-03-08,36743.208333333336,IT
2023-03-09,36040.875,IT
2023-03-10,30138.041666666668,IT
2023-03-11,26865.833333333332,IT
2023-03-12,35066.875,IT
2023-03-13,35848.833333333336,IT
2023-03-14,36052.0,IT
2023-03-15,36838.083333333336,IT
2023-03-16,35542.083333333336,IT
2023-03-17,30265.291666666668,IT
2023-03-18,27050.166666666668,IT
2023-03-19,36272.583333333336,IT
2023-03-20,37624.708333333336,IT
2023-03-21,37627.416666666664,IT
2023-03-22,37394.375,IT
2023-03-23,36724.833333333336,IT
2023-03-24,30575.416666666668,IT
2023-03-25,26374.333333333332,IT
2023-03-26,35369.041666666664,IT
2023-03-27,35707.416666666664,IT
2023-03-28,35403.416666666664,IT
2023-03-29,35556.0,IT
2023-03-30,33302.791666666664,IT
2023-03-31,27104.833333333332,IT
2023-04-01,21691.416666666668,IT
2023-04-02,21703.958333333332,IT
2023-04-03,33149.208333333336,IT
2023-04-04,36169.833333333336,IT
2023-04-05,35034.333333333336,IT
2023-04-06,33813.125,IT
2023-04-07,27650.125,IT
2023-04-08,24038.0,IT
2023-04-09,33836.583333333336,IT
2023-04-10,34712.958333333336,IT
2023-04-11,35121.75,IT
2023-04-12,35317.625,IT
2023-04-13,33777.541666666664,IT
2023-04-14,27766.041666666668,IT
2023-04-15,24735.125,IT
2023-04-16,32628.375,IT
2023-04-17,33856.833333333336,IT
2023-04-18,33886.333333333336,IT
2023-04-19,33778.375,IT
2023-04-20,33739.791666666664,IT
2023-04-21,28171.833333333332,IT
2023-04-22,24468.708333333332,IT
2023-04-23,32760.5,IT
2023-04-24,33793.416666666664,IT
2023-04-25,25705.125,IT
2023-04-26,33106.083333333336,IT
2023-04-27,33367.25,IT
2023-04-28,27740.458333333332,IT
2023-04-29,24454.583333333332,IT
2023-04-30,27372.666666666668,IT
2023-05-01,22840.375,IT
2023-05-02,33471.166666666664,IT
2023-05-03,35081.333333333336,IT
2023-05-04,34722.25,IT
2023-05-05,28846.541666666668,IT
2023-05-06,24567.583333333332,IT
2023-05-07,33155.708333333336,IT
2023-05-08,34705.625,IT
2023-05-09,35184.333333333336,IT
2023-05-10,35317.083333333336,IT
2023-05-11,34468.083333333336,IT
2023-05-12,28653.375,IT
2023-05-13,24735.208333333332,IT
2023-05-14,32973.208333333336,IT
2023-05-15,34101.333333333336,IT
2023-05-16,33632.833333333336,IT
2023-05-17,34316.333333333336,IT
2023-05-18,33662.958333333336,IT
2023-05-19,27730.5,IT
2023-05-20,24024.625,IT
2023-05-21,32820.833333333336,IT
2023-05-22,35178.708333333336,IT
2023-05-23,35097.333333333336,IT
2023-05-24,34774.833333333336,IT
2023-05-25,34567.5,IT
2023-05-26,28801.583333333332,IT
2023-05-27,25534.625,IT
2023-05-28,34340.5,IT
2023-05-29,36071.5,IT
2023-05-30,36987.625,IT
2023-05-31,36395.625,IT
2023-06-01,35225.916666666664,IT
2023-06-02,26768.75,IT
2023-06-03,25722.041666666668,IT
2023-06-04,35364.083333333336,IT
2023-06-05,36452.333333333336,IT
2023-06-06,36557.416666666664,IT
2023-06-07,36868.708333333336,IT
2023-06-08,36344.041666666664,IT
2023-06-09,29896.541666666668,IT
2023-06-10,26442.208333333332,IT
2023-06-11,36604.25,IT
2023-06-12,38033.0,IT
2023-06-13,37282.958333333336,IT
2023-06-14,36731.166666666664,IT
2023-06-15,36140.458333333336,IT
2023-06-16,30223.875,IT
2023-06-17,26708.041666666668,IT
2023-06-18,36276.916666666664,IT
2023-06-19,38522.625,IT
2023-06-20,39435.291666666664,IT
2023-06-21,39633.708333333336,IT
2023-06-22,38852.166666666664,IT
2023-06-23,30760.625,IT
2023-06-24,26563.0,IT
2023-06-25,35119.458333333336,IT
2023-06-26,36784.958333333336,IT
2023-06-27,36991.375,IT
2023-06-28,36546.541666666664,IT
2023-06-29,36533.666666666664,IT
2023-06-30,32081.125,IT
2023-07-01,27796.375,IT
2023-07-02,38078.166666666664,IT
2023-07-03,40374.333333333336,IT
2023-07-04,40805.291666666664,IT
2023-07-05,40768.666666666664,IT
2023-07-06,40228.291666666664,IT
2023-07-07,33041.416666666664,IT
2023-07-08,29104.0,IT
2023-07-09,38807.541666666664,IT
2023-07-10,40521.5,IT
2023-07-11,39711.083333333336,IT
2023-07-12,40029.875,IT
2023-07-13,40167.958333333336,IT
2023-07-14,33881.791666666664,IT
2023-07-15,29686.75,IT
2023-07-16,38739.0,IT
2023-07-17,39868.125,IT
2023-07-18,40704.75,IT
2023-07-19,41199.041666666664,IT
2023-07-20,41605.541666666664,IT
2023-07-21,33484.708333333336,IT
2023-07-22,29935.291666666668,IT
2023-07-23,38835.625,IT
2023-07-24,40126.833333333336,IT
2023-07-25,40740.041666666664,IT
2023-07-26,41078.708333333336,IT
2023-07-27,40373.25,IT
2023-07-28,34438.625,IT
2023-07-29,30788.791666666668,IT
2023-07-30,41455.333333333336,IT
2023-07-31,43167.833333333336,IT
2023-08-01,44200.458333333336,IT
2023-08-02,42925.208333333336,IT
2023-08-03,41246.125,IT
2023-08-04,34331.791666666664,IT
2023-08-05,30731.791666666668,IT
2023-08-06,37114.083333333336,IT
2023-08-07,37196.583333333336,IT
2023-08-08,36692.708333333336,IT
2023-08-09,35602.291666666664,IT
2023-08-10,34066.0,IT
2023-08-11,30160.25,IT
2023-08-12,27015.041666666668,IT
2023-08-13,29754.541666666668,IT
2023-08-14,27834.875,IT
2023-08-15,23828.75,IT
2023-08-16,26954.75,IT
2023-08-17,27908.083333333332,IT
2023-08-18,27193.208333333332,IT
2023-08-19,25825.916666666668,IT
2023-08-20,31322.541666666668,IT
2023-08-21,32896.708333333336,IT
2023-08-22,33476.833333333336,IT
2023-08-23,33766.083333333336,IT
2023-08-24,33522.166666666664,IT
2023-08-25,29465.0,IT
2023-08-26,25909.541666666668,IT
2023-08-27,33442.75,IT
2023-08-28,35473.666666666664,IT
2023-08-29,36862.583333333336,IT
2023-08-30,37899.541666666664,IT
2023-08-31,36889.083333333336,IT
2023-09-01,29863.5,IT
2023-09-02,26374.291666666668,IT
2023-09-03,35085.166666666664,IT
2023-09-04,37037.0,IT
2023-09-05,37967.708333333336,IT
2023-09-06,38278.0,IT
2023-09-07,37908.5,IT
2023-09-08,30813.5,IT
2023-09-09,27165.125,IT
2023-09-10,36458.75,IT
2023-09-11,38271.958333333336,IT
2023-09-12,38855.708333333336,IT
2023-09-13,38496.208333333336,IT
2023-09-14,38407.5,IT
2023-09-15,31719.083333333332,IT
2023-09-16,27630.375,IT
2023-09-17,37097.458333333336,IT
2023-09-18,38570.5,IT
2023-09-19,38173.916666666664,IT
2023-09-20,38402.208333333336,IT
2023-09-21,37897.583333333336,IT
2023-09-22,31502.166666666668,IT
2023-09-23,27835.208333333332,IT
2023-09-24,36706.958333333336,IT
2023-09-25,36685.916666666664,IT
2023-09-26,35729.958333333336,IT
2023-09-27,35571.0,IT
2023-09-28,35404.5,IT
2023-09-29,29705.083333333332,IT
2023-09-30,26051.708333333332,IT
2023-10-01,34670.208333333336,IT
2023-10-02,35543.041666666664,IT
